,State,Gender,Specialty
0,TX,M,Dentist
1,AL,F,General Surgery
2,NY,F,General Practice
3,AZ,M,Internal Medicine
4,NV,M,Hematology/Oncology
5,PA,M,General Surgery
6,NH,M,Family Practice
7,PA,F,Nurse Practitioner
8,TX,M,Optometry
9,WI,F,Internal Medicine
10,PR,F,General Practice
11,TX,M,General Surgery
12,CO,M,Family Practice
13,OH,M,Cardiology
14,TX,F,Hematology/Oncology
15,OH,M,General Surgery
16,MA,F,Internal Medicine
17,CT,M,Hematology/Oncology
18,FL,M,General Surgery
19,MN,M,Dentist
20,UT,M,Obstetrics/Gynecology
21,AL,F,Family Practice
22,IA,F,Nurse Practitioner
23,IL,F,Podiatry
24,CT,M,Physician Assistant
25,FL,F,Nurse Practitioner
26,NY,M,Diagnostic Radiology
27,NY,M,Student in an Organized Health Care Education/Training Program
28,FL,F,Internal Medicine
29,CO,F,Dentist
30,MT,F,Internal Medicine
31,IN,F,Nurse Practitioner
32,FL,M,Neurology
33,VA,M,General Surgery
34,FL,F,Neurology
35,CA,M,Internal Medicine
36,NV,F,Nurse Practitioner
37,IN,M,General Surgery
38,OR,F,Physician Assistant
39,NE,M,Family Practice
40,MI,F,Certified Nurse Midwife
41,NM,F,Nurse Practitioner
42,PA,M,Physician Assistant
43,CA,M,Dentist
44,TN,F,Nurse Practitioner
45,NY,M,Dentist
46,IL,F,Rheumatology
47,CT,M,Dentist
48,CA,F,Pharmacist
49,KS,M,Optometry
50,PA,F,Nurse Practitioner
51,LA,F,Obstetrics/Gynecology
52,MD,M,Cardiology
53,TX,M,Urology
54,IL,M,Cardiac Electrophysiology
55,CT,F,Physician Assistant
56,MI,M,Family Practice
57,PR,F,Dentist
58,MO,M,Internal Medicine
59,IA,F,Family Practice
60,PA,F,Dermatology
61,NH,F,Nurse Practitioner
62,AR,M,Family Practice
63,IN,F,Optometry
64,CA,M,Internal Medicine
65,WI,M,Dentist
66,TN,F,Dentist
67,TX,M,Podiatry
68,NE,M,Emergency Medicine
69,NC,F,Nurse Practitioner
70,IA,F,Physician Assistant
71,CA,M,Internal Medicine
72,TX,M,Psychiatry & Neurology
73,MN,F,Infectious Disease
74,OH,M,Psychiatry
75,NJ,M,Physician Assistant
76,MI,F,Student in an Organized Health Care Education/Training Program
77,AL,M,Gastroenterology
78,IL,M,Podiatry
79,IL,M,Ophthalmology
80,NY,M,Cardiology
81,AZ,F,Dentist
82,TN,F,Nurse Practitioner
83,NY,M,Thoracic Surgery
84,AL,F,Family Practice
85,NY,M,Internal Medicine
86,FL,M,Oral Surgery (dentists only)
87,NY,F,Physician Assistant
88,NY,M,Psychiatry & Neurology
89,PA,M,Internal Medicine
90,TN,M,Dentist
91,TX,M,Emergency Medicine
92,SC,M,Anesthesiology
93,NC,F,Internal Medicine
94,CT,M,Orthopedic Surgery
95,MO,M,Internal Medicine
96,WY,M,Family Practice
97,VA,F,Internal Medicine
98,OH,M,Urology
99,CA,M,General Practice
100,NJ,M,Anesthesiology
101,ME,M,Psychiatry & Neurology
102,LA,M,Internal Medicine
103,NJ,M,Otolaryngology
104,NY,F,Physician Assistant
105,CA,M,Internal Medicine
106,OH,M,Neurology
107,OH,M,Internal Medicine
108,CA,F,Emergency Medicine
109,FL,M,Emergency Medicine
110,AZ,M,Ophthalmology
111,MN,F,Family Practice
112,NC,M,Cardiology
113,OK,F,Anesthesiology
114,ME,M,Internal Medicine
115,UT,F,Family Practice
116,CA,F,Nurse Practitioner
117,CA,M,Pulmonary Disease
118,FL,M,Emergency Medicine
119,TX,M,Neuropsychiatry
120,PA,F,Student in an Organized Health Care Education/Training Program
121,FL,M,Cardiology
122,KS,F,Physical Therapist
123,IN,M,Family Practice
124,ND,M,Emergency Medicine
125,NY,F,Family Practice
126,KY,F,Nurse Practitioner
127,MI,M,Dentist
128,PR,M,Dentist
129,ME,M,Dentist
130,CA,M,Internal Medicine
131,GA,M,Dentist
132,GA,F,Nurse Practitioner
133,NY,M,Student in an Organized Health Care Education/Training Program
134,WI,M,Dermatology
135,AR,M,Ophthalmology
136,CT,M,Psychiatry & Neurology
137,NY,M,Psychiatry
138,NY,F,Psychiatry & Neurology
139,NJ,M,Dentist
140,CA,M,Ophthalmology
141,TX,M,Otolaryngology
142,TX,M,General Surgery
143,IL,M,Internal Medicine
144,FL,F,Optometry
145,SC,F,Pediatric Medicine
146,CA,M,Gastroenterology
147,MI,M,Physician Assistant
148,NC,F,Otolaryngology
149,TX,M,Ophthalmology
150,MI,M,Internal Medicine
151,OH,M,Infectious Disease
152,NY,M,Dentist
153,IN,M,Family Practice
154,TX,M,Gastroenterology
155,MO,M,Internal Medicine
156,VA,F,Psychiatry
157,MI,M,Physical Medicine and Rehabilitation
158,AZ,F,Family Practice
159,GA,F,Family Practice
160,MA,M,Oral Surgery (dentists only)
161,LA,M,Dentist
162,DE,F,Psychiatry
163,MI,M,General Surgery
164,WI,F,Ophthalmology
165,CA,F,General Surgery
166,CA,F,Nurse Practitioner
167,NE,M,Emergency Medicine
168,OH,M,Emergency Medicine
169,OH,M,Internal Medicine
170,CA,F,Obstetrics/Gynecology
171,CA,M,Emergency Medicine
172,IN,M,Student in an Organized Health Care Education/Training Program
173,PR,M,Nephrology
174,WI,M,Internal Medicine
175,TX,M,General Surgery
176,MD,M,Family Practice
177,TX,M,Family Practice
178,NY,M,Urology
179,PA,M,Family Practice
180,CA,M,Internal Medicine
181,CA,F,Family Practice
182,TX,M,Dentist
183,PA,M,Student in an Organized Health Care Education/Training Program
184,MI,F,Physician Assistant
185,MI,F,Dentist
186,FL,M,Dentist
187,CA,F,Cardiology
188,PR,M,Family Practice
189,NJ,M,Internal Medicine
190,MI,M,Dentist
